Codigo,Acao,Tipo,Qtde Teorica,Part %
ABEV3,AMBEV S/A,ON,4358542894,3.0242
ASAI3,ASSAI,ON ED NM,88180251,0.3312
AZUL4,AZUL,PN N2,327262616,0.5851
BTOW3,B2W DIGITAL,ON NM,201802882,0.6309
B3SA3,B3,ON NM,2039811398,4.8788
BIDI11,BANCO INTER,UNT N2,78450313,0.8441
BBSE3,BBSEGURIDADE,ON NM,671584841,0.6964
BRML3,BR MALLS PAR,ON NM,843728684,0.3730
BBDC3,BRADESCO,ON N1,1253093907,1.2029
BBDC4,BRADESCO,PN N1,4261649634,4.7204
BRAP4,BRADESPAR,PN N1,222604507,0.7341
BBAS3,BRASIL,ON NM,1283197221,1.7664
BRKM5,BRASKEM,PNA N1,264640575,0.6452
BRFS3,BRF SA,ON NM,811759800,0.7837
BPAC11,BTGP BANCO,UNT N2,236093794,1.1814
CRFB3,CARREFOUR BR,ON NM,391758726,0.3951
CCRO3,CCR SA,ON NM,1115693556,0.6238
CMIG4,CEMIG,PN N1,1081211185,0.5957
HGTX3,CIA HERING,ON ED NM,126186408,0.1606
CIEL3,CIELO,ON NM,1112196638,0.1768
COGN3,COGNA ON,ON ATZ NM,1847994874,0.3321
CPLE6,COPEL,PNB ED N1,570829074,0.1659
CSAN3,COSAN,ON NM,292309436,1.2226
CPFE3,CPFL ENERGIA,ON NM,187714249,0.2427
CVCB3,CVC BRASIL,ON NM,200884562,0.2236
CYRE3,CYRELA REALT,ON ED NM,281154098,0.3072
ECOR3,ECORODOVIAS,ON NM,172602770,0.0964
ELET3,ELETROBRAS,ON EDR N1,358018408,0.6117
ELET6,ELETROBRAS,PNB EDR N1,242977127,0.4173
EMBR3,EMBRAER,ON NM,736143105,0.5265
ENBR3,ENERGIAS BR,ON NM,231489471,0.2020
ENGI11,ENERGISA,UNT N2,250679709,0.5129
ENEV3,ENEVA,ON NM,1248545726,0.8506
EGIE3,ENGIE BRASIL,ON NM,254792279,0.4812
EQTL3,EQUATORIAL,ON NM,1010286085,1.1434
EZTC3,EZTEC,ON ED NM,95756217,0.1436
FLRY3,FLEURY,ON NM,303800430,0.3604
GGBR4,GERDAU,PN N1,995903643,1.5365
GOAU4,GERDAU MET,PN N1,693699918,0.4787
GOLL4,GOL,PN N2,139276933,0.1516
NTCO3,GRUPO NATURA,ON NM,841433075,1.9046
HAPV3,HAPVIDA,ON NM,1265256490,0.8485
HYPE3,HYPERA,ON NM,410147968,0.6602
IGTA3,IGUATEMI,ON ED NM,85796919,0.1466
GNDI3,INTERMEDICA,ON NM,593438080,2.2398
IRBR3,IRBBRASIL RE,ON NM,1255286531,0.3550
ITSA4,ITAUSA,PN EJ N1,4515538171,2.1097
ITUB4,ITAUUNIBANCO,PN EJ N1,4770095054,6.0956
JBSS3,JBS,ON ED NM,1388025890,1.9416
JHSF3,JHSF PART,ON NM,288832602,0.0916
KLBN11,KLABIN S/A,UNT N2,922294338,1.1933
RENT3,LOCALIZA,ON NM,593841434,1.7727
LCAM3,LOCAMERICA,ON NM,323763077,0.3965
LWSA3,LOCAWEB,ON NM,427663748,0.5714
LAME4,LOJAS AMERIC,PN N1,847010651,0.8205
LREN3,LOJAS RENNER,ON ED NM,785417914,1.4736
MGLU3,MAGAZ LUIZA,ON NM,2668955512,2.4828
MRFG3,MARFRIG,ON NM,368864634,0.3321
BEEF3,MINERVA,ON NM,240482896,0.1081
MRVE3,MRV,ON ED NM,293978672,0.2368
MULT3,MULTIPLAN,ON N2,245888754,0.2629
PCAR3,P.ACUCAR-CBD,ON NM,156928631,0.2968
PETR3,PETROBRAS,ON N2,3620580434,3.8842
PETR4,PETROBRAS,PN N2,4566457037,5.0093
BRDT3,PETROBRAS BR,ON NM,1164958126,1.2178
PRIO3,PETRORIO,ON NM,161444083,0.6866
QUAL3,QUALICORP,ON NM,283467789,0.3561
RADL3,RAIADROGASIL,ON NM,1072645150,1.3101
RAIL3,RUMO S.A.,ON NM,1218081171,1.1314
SBSP3,SABESP,ON EJ NM,339999111,0.6755
SANB11,SANTANDER BR,UNT,355642348,0.6364
CSNA3,SID NACIONAL,ON,642398790,1.4480
SULA11,SUL AMERICA,UNT N2,284566116,0.4322
SUZB3,SUZANO S.A.,ON NM,724921241,2.3119
TAEE11,TAESA,UNT N2,218568274,0.4243
VIVT3,TELEF BRASIL,ON,444219852,0.8883
TIMS3,TIM,ON NM,808485985,0.4577
TOTS3,TOTVS,ON ED NM,480228410,0.6936
UGPA3,ULTRAPAR,ON NM,1085987426,1.0647
USIM5,USIMINAS,PNA ED N1,513796208,0.5357
VALE3,VALE,ON NM,2456887211,12.4397
VVAR3,VIAVAREJO,ON NM,1595508601,0.8766
WEGE3,WEG,ON EB NM,1482296002,2.4101
YDUQ3,YDUQS PART,ON ED NM,300483575,0.4083
